id,combo,query
35,"(A1,B1,C1,D2)","Как приготовить котлеты Пожарские, сколько времени потребуется на их обжаривание?"
36,"(A1,B1,C1,D2)",Как приготовить коврижку медовую?
37,"(A1,B1,C1,D2)","Как приготовить кулебяку с грибами, используя сковороду?"
38,"(A1,B1,C1,D2)",Как испечь кулич пасхальный?
39,"(A1,B1,C1,D2)","Как приготовить кутью с изюмом и мёдом, за сколько минут?"
40,"(A1,B1,C1,D2)",Как приготовить ленивые голубцы?
41,"(A1,B1,C1,D2)","Как приготовить манник на кефире, используя микроволновку?"
42,"(A1,B1,C1,D2)",Как приготовить морс клюквенный?
43,"(A1,B1,C1,D2)","Как приготовить оладьи на сыворотке, сколько времени займет?"
44,"(A1,B1,C1,D2)",Как приготовить пасху творожную?
45,"(A1,B1,C1,D2)","Как приготовить печёночные оладьи, используя только сковороду?"
46,"(A1,B1,C1,D2)",Как приготовить пирог Курник?
48,"(A1,B1,C1,D2)",Как приготовить пирожное Картошка?
49,"(A1,B1,C1,D2)","Как приготовить плов по-русски с говядиной, используя кастрюлю?"
50,"(A1,B1,C1,D2)",Как приготовить тульские пряники?
51,"(A1,B1,C1,D2)","Как приготовить кашу пшенную с тыквой, в течение 30 минут?"
52,"(A1,B1,C1,D2)",Как приготовить летнее овощное рагу?
53,"(A1,B1,C1,D2)",Как приготовить рыбу под овощным маринадом?
54,"(A1,B1,C1,D2)",Как приготовить рыбные котлеты из минтая?
55,"(A1,B1,C1,D2)",Как приготовить салат Гранатовый браслет?
56,"(A1,B1,C1,D2)",Как приготовить салат Мимоза?
57,"(A1,B1,C1,D2)",Как приготовить русский сбитень?
58,"(A1,B1,C1,D2)",Как приготовить щи из свежей капусты?
59,"(A1,B1,C1,D2)",Как приготовить сельдь под шубой?
60,"(A1,B1,C1,D2)",Как приготовить шарлотку с яблоками?
61,"(A1,B1,C1,D2)",Как приготовить щи зеленые со щавелем?
62,"(A1,B1,C1,D2)",Как приготовить сочники с творогом?
63,"(A1,B1,C1,D2)",Как приготовить солянку из квашеной капусты с мясом?
64,"(A1,B1,C1,D2)",Как приготовить куриный суп-лапша?
65,"(A1,B1,C1,D2)",Как приготовить грибной суп из сушёных грибов?
66,"(A1,B1,C1,D2)",Как приготовить свекольные оладьи?
68,"(A1,B1,C1,D2)",Как приготовить тефтели в томатном соусе?
69,"(A1,B1,C1,D2)",Как приготовить торт Медовик классический?
70,"(A1,B1,C1,D2)",Как приготовить торт Наполеон?
72,"(A1,B1,C1,D2)",Как приготовить тыквенную кашу с рисом?
73,"(A1,B1,C1,D2)",Как приготовить уху классическую из речной рыбы?
74,"(A1,B1,C1,D2)",Как приготовить вареники с картошкой?
75,"(A1,B1,C1,D3)","Подскажи, как приготовить борщ классический с говядиной?"
76,"(A1,B1,C1,D3)",Как приготовить кулебяку с грибами?
77,"(A1,B1,C1,D3)","Расскажи, пожалуйста, рецепт торта Медовика."
78,"(A1,B1,C1,D3)",Как сделать торт Наполеон?
79,"(A1,B1,C1,D3)",Как приготовить плов по‑русски с говядиной?
81,"(A1,B1,C1,D3)",Подскажи рецепт запеканки творожной в духовке?
82,"(A1,B1,C1,D3)",Как приготовить пирог Курник?
83,"(A1,B1,C2,D1)",Как приготовить быстрый овощной салат с сыром и колбасой?
84,"(A1,B1,C2,D1)",Подскажи рецепт лёгкой фруктово‑овощной каши на молоке.
85,"(A1,B1,C2,D1)","Как сделать сырный мусс с ягодами, используя только миску и венчик?"
86,"(A1,B1,C2,D1)","Как приготовить холодный салат из сезонных овощей, сыра и отварного риса?"
87,"(A1,B1,C2,D1)",Как приготовить фруктовый десерт с творогом и молоком без выпечки?
88,"(A1,B1,C2,D1)",Как быстро приготовить овсяную кашу с кусочками яблок и тертым сыром?
89,"(A1,B1,C2,D1)","Как приготовить простой салат из моркови, свеклы, сыра и колбасы?"
90,"(A1,B1,C2,D1)",Как приготовить сырный десерт с кусочками персика и молоком?
92,"(A1,B1,C2,D1)",Как сделать холодный сырный крем с ягодами?
93,"(A1,B1,C2,D2)",Как быстро приготовить куриный суп с овощами?
94,"(A1,B1,C2,D2)","Сколько времени понадобится для приготовления запеканки из картофеля, сыра и колбасы?"
95,"(A1,B1,C2,D2)",Какие инструменты нужны для приготовления рыбного плова?
98,"(A1,B1,C2,D2)","Подскажи рецепт, который можно приготовить за полтора часа на плите."
99,"(A1,B1,C2,D2)","Как приготовить овощное рагу, используя кастрюлю и терку?"
100,"(A1,B1,C2,D2)",Как быстро приготовить пасту с курицей и помидорами?
101,"(A1,B1,C2,D2)",Сколько времени займет приготовление риса с мясом в микроволновке?
102,"(A1,B1,C2,D2)","Как приготовить блюдо, используя только миску и ложку?"
103,"(A1,B1,C2,D2)","Как приготовить суп, если у меня есть только кастрюля и плита?"
104,"(A1,B1,C2,D2)",Как быстро сварить гречку с овощами?
105,"(A1,B1,C2,D2)",Как приготовить легкий куриный суп с морковью и луком?
106,"(A1,B1,C2,D2)","Подскажи рецепт запеканки из цветной капусты, сыра и курицы."
107,"(A1,B1,C2,D2)","Как приготовить пасту с колбасой, помидорами и сыром?"
108,"(A1,B1,C2,D2)",Как приготовить блюдо из свинины с морковью и рисом за полтора часа?
109,"(A1,B1,C2,D2)","Подскажи рецепт фруктового десерта с яблоками, творогом и сливками."
110,"(A1,B1,C2,D2)",Как приготовить кашу из гречки с тыквой и плавленым сыром?
111,"(A1,B1,C2,D2)",Как приготовить куриные котлеты с морковью и рисом?
112,"(A1,B1,C2,D2)",Как приготовить запеченную рыбу с картофелем и брокколи в микроволновке?
113,"(A1,B1,C2,D2)",Как приготовить кабачковое рагу с говядиной и томатами?
114,"(A1,B1,C2,D2)","Как приготовить фаршированные перцы с куриным фаршем, рисом и сыром?"
115,"(A1,B1,C2,D2)","Как приготовить овощные оладьи из кабачка, моркови и сыра?"
116,"(A1,B1,C2,D2)",Как приготовить крем-суп из тыквы с молоком и курицей?
117,"(A1,B1,C2,D2)",Как приготовить кашу из пшеницы с ягодами и творогом?
118,"(A1,B1,C2,D2)",Как приготовить фаршированные баклажаны с говядиной и сыром?
119,"(A1,B1,C2,D2)","Как приготовить салат из свежих помидоров, огурцов, сыра и отварного куриного филе?"
120,"(A1,B1,C2,D2)",Как приготовить рисовый плов с курицей и морковью?
121,"(A1,B1,C2,D2)",Как приготовить тушеную говядину с корнеплодами и сметаной?
122,"(A1,B1,C2,D2)",Как приготовить макароны с сыром и колбасой?
123,"(A1,B1,C2,D2)",Как приготовить творожный пудинг с ягодами и молоком?
124,"(A1,B1,C2,D2)",Как приготовить картофельную запеканку с сыром и колбасой?
125,"(A1,B1,C2,D2)",Как приготовить блюдо из индейки с брокколи и рисом?
126,"(A1,B1,C2,D2)","Как приготовить овощной крем с цветной капустой, молоком и сыром?"
127,"(A1,B1,C2,D2)",Как приготовить блины с творогом и ягодным соусом?
128,"(A1,B1,C2,D2)",Как приготовить кашу из перловой крупы с морковью и сыром?
129,"(A1,B1,C2,D2)","Как приготовить куриные рулетики из куриного филе, сыра и шпината?"
130,"(A1,B1,C2,D2)",Как приготовить рыбные кексы с морковью и сыром?
131,"(A1,B1,C2,D2)","Как приготовить салат из свежей капусты, яблок, моркови и сыра?"
132,"(A1,B1,C2,D2)","Как приготовить фаршированные помидоры с рисом, сыром и курицей?"
135,"(A1,B1,C2,D3)","Расскажи, как сделать тирамису с маскарпоне, кофе и какао‑порошком."
136,"(A1,B1,C2,D3)",Подскажи рецепт чизкейка Нью‑Йорк с ягодным соусом и ореховой крошкой.
137,"(A1,B1,C2,D3)",Как приготовить террин из куриного филе с грецкими орехами и курагой?
138,"(A1,B1,C2,D3)",Подскажи способ запекания баранины с розмарином и гранатовым соусом.
140,"(A1,B2,C1,E1)","Как долго нужно томить соус, чтобы сократить его время приготовления?"
142,"(A1,B2,C1,E1)",Сколько времени следует нагревать сковороду перед жаркой?
143,"(A1,B2,C1,E1)",Сколько минут необходимо жарить рыбу без двойного переворота?
144,"(A1,B2,C1,E1)","Как быстро приготовить пасту, чтобы не переварить её?"
145,"(A1,B2,C1,E2)","Чем заменить майонез в соусе, если под рукой только йогурт?"
146,"(A1,B2,C1,E2)","Как заменить сливки в креме, используя сгущёнку и воду?"
147,"(A1,B2,C1,E2)","Что использовать вместо лимона в маринаде, если есть ускус?"
148,"(A1,B2,C1,E2)","Как заменить муку в панировке, используя сухари?"
149,"(A1,B2,C1,E2)","Чем заменить яйца в тесте, если есть банан?"
150,"(A1,B2,C1,E2)","Что можно использовать вместо сахара, если есть мёд?"
151,"(A1,B2,C1,E3)",Что использовать вместо миксера?
152,"(A1,B2,C1,E3)","Как заменить скалку, если её нет дома?"
153,"(A1,B2,C1,E3)",Каким способом можно заменить сито в рецепте?
154,"(A1,B2,C1,E3)","Как заменить нож для масла, если он потерян?"
155,"(A1,B2,C1,E3)",Что взять вместо пароварки для готовки на пару?
156,"(A1,B2,C1,E3)","Как приготовить без противня, если его нет?"
157,"(A1,B2,C1,E4)","У меня лук пережарился, как исправить?"
158,"(A1,B2,C1,E4)","Суп у меня пересолился, как его спасти?"
159,"(A1,B2,C1,E4)","Я варю яйца слишком долго, как ускорить их варку?"
160,"(A1,B2,C1,E4)","Мясо у меня пережарилось, как избежать этого?"
161,"(A1,B2,C1,E4)","Зелень в блюде начала портиться, как её сохранить свежей?"
162,"(A1,B2,C1,E4)","Пельмени прилипли к кастрюле, как предотвратить их слипание?"
163,"(A1,B2,C1,E5)","Как правильно хранить зелень, чтобы она не портилась?"
164,"(A1,B2,C1,E5)","Как следует хранить сыр, чтобы он дольше сохранялся?"
165,"(A1,B2,C1,E5)","Как хранить грибы, чтобы они оставались свежими?"
166,"(A1,B2,C1,E5)","Как правильно хранить хлеб, чтобы он не черствел?"
167,"(A1,B2,C1,E5)","Как хранить орехи и семечки, чтобы они не теряли вкус?"
168,"(A1,B2,C1,E5)","Как продлить свежесть бананов, если я их обматываю плёнкой у хвостика?"
169,"(A1,B2,C2,E1)","Сколько времени нужно варить киноа в подсоленной воде, чтобы она стала мягкой, но не разваливалась?"
170,"(A1,B2,C2,E1)","Как долго следует запекать куриные бедра при температуре 200 °C, чтобы они получились сочными и золотистыми?"
171,"(A1,B2,C2,E1)",Какое оптимальное время готовки стейка толщиной 2 см до средней прожарки на гриле?
172,"(A1,B2,C2,E1)","Сколько минут требуется тушить овощное рагу в кастрюле с крышкой на среднем огне, чтобы все ингредиенты стали нежными?"
173,"(A1,B2,C2,E2)",Чем заменить соевый соус в маринаде для курицы?
174,"(A1,B2,C2,E2)",Что можно использовать вместо свежего базилика в соусе песто?
175,"(A1,B2,C2,E2)",Как заменить кефир в тесте для оладий?
176,"(A1,B2,C2,E2)",Каким продуктом заменить орехи в шоколадном муссе?
177,"(A1,B2,C2,E3)",Как заменить деревянную лопатку при перемешивании соуса?
178,"(A1,B2,C2,E3)","Что использовать вместо крупной терки, если её нет в доме?"
179,"(A1,B2,C2,E3)","Чем можно заменить кухонный пресс для чеснока, если он сломался?"
180,"(A1,B2,C2,E3)",Как приготовить тесто без применения скалки?
181,"(A1,B2,C2,E4)","Тесто не поднимается, в чём может быть причина и как исправить?"
182,"(A1,B2,C2,E4)","Каша прилипла к дну кастрюли, как её спасти без разрушения?"
183,"(A1,B2,C2,E4)","Куриные грудки получились сухими, какие приёмы помогут вернуть сочность?"
184,"(A1,B2,C2,E4)","При жарке овощей образуется много дыма, как уменьшить его и сохранить вкус?"
185,"(A1,B2,C2,E5)","Как хранить свежий шпинат, чтобы он оставался зелёным?"
186,"(A1,B2,C2,E5)","Сколько дней можно хранить варёный рис в холодильнике, не теряя вкуса?"
187,"(A1,B2,C2,E5)","Как правильно замораживать ягоды, чтобы они не потеряли аромат после разморозки?"
188,"(A1,B2,C2,E5)","Можно ли хранить открытый кефир в морозильнике, и как долго он будет пригоден?"
189,(A2),Какой прогноз погоды на следующую неделю в Санкт‑Петербурге?
191,(A2),Где находится ближайший к моему дому пункт проката электросамокатов?
192,(A2),Как оформить заявление на отпуск в текущем месяце?
193,(A2),Кто является автором романа «Война и мир»?
194,(A2),Какие документы нужны для получения заграничного паспорта?
195,(A2),Как правильно настроить роутер для домашней сети Wi‑Fi?
197,(A2),Сколько стоит билет в кино на фильм «Дюна» в субботу?
198,(A2),Какой курс обмена евро к рублю сегодня?
